,ts,x,y,z,i,j,k,w
84,84,-0.0008168968905303472,0.0008584286260934957,0.1942047383533464,0.0020335953668044783,1.5557636255080093e-05,-0.00036749440556392327,0.9999978645955729
85,85,-0.0008175464581883883,0.0008582507243141521,0.1942056873351807,0.0020342985117077867,1.3551793309099782e-05,-0.0003674188885833641,0.9999978632223544
86,86,-0.0008181456977907707,0.0008580904936569268,0.194206555930162,0.0020349461334459654,1.1708925981685655e-05,-0.0003673543607383118,0.9999978619516688
87,87,-0.0008186983594762003,0.0008579466388653264,0.19420735100436215,0.0020355425619181045,1.0016037277652873e-05,-0.00036729976261799753,0.9999978607762328
88,88,-0.0008192618173829536,0.0008578776180127338,0.19420805191038965,0.0020359320837524605,8.320239164566821e-06,-0.0003672896441552802,0.9999978600025308
89,89,-0.0008198292286667011,0.0008578858210126144,0.19420866926033487,0.002036109079717888,6.637533075929721e-06,-0.00036732473433056286,0.9999978596418584
90,90,-0.0008203513222500812,0.0008579135968013951,0.19420923430019224,0.002036228578094601,5.094229876229388e-06,-0.0003673700706049886,0.9999978593909378
91,91,-0.0008208316439974304,0.0008579471360057937,0.19420975155673048,0.0020363280915490748,3.678317135293377e-06,-0.0003674173287270228,0.9999978591771485
92,92,-0.0008212735447564899,0.0008579830771104353,0.194210225120047,0.0020364170907615493,2.37925744005292e-06,-0.00036746453859052,0.9999978589825004
93,93,-0.0008216799978090594,0.0008580205573938603,0.19421065871782425,0.0020364983075806804,1.1876240764067026e-06,-0.000367511243033766,0.9999978588020672
94,94,-0.0008220537212662024,0.0008580593094120625,0.1942110557544388,0.002036572836739478,9.480971468105273e-08,-0.00036755734496035896,0.9999978586340422
95,95,-0.0008223972209205107,0.000858099210119168,0.19421141934079894,0.0020366413474945657,-9.070890663945186e-07,-0.0003676028339586343,0.9999978584773844
96,96,-0.0008227128116287619,0.0008581401740472718,0.1942117523202828,0.0020367043736060613,-1.825339899174295e-06,-0.0003676477212201768,0.9999978583312644
97,97,-0.0008230026327967563,0.0008581821279039977,0.1942120572920885,0.0020367623849195213,-2.6666282775162683e-06,-0.00036769202381426493,0.9999978581949324
98,98,-0.0008231625536035943,0.0008581033308940355,0.1942122579451508,0.0020371170972628455,-3.1649527564669493e-06,-0.00036780520133425284,0.9999978574293292
99,99,-0.0008232497365621419,0.0008579978536191603,0.1942123991502095,0.00203753031022014,-3.4697769576451316e-06,-0.0003679652772629145,0.999997856527578
100,100,-0.0008233159097477006,0.0008579139139449723,0.19421251936669207,0.0020378845829775714,-3.7137710411825888e-06,-0.0003681346453395993,0.9999978557424596
101,101,-0.0008233707047694763,0.0008578446183599821,0.19421262554546245,0.0020382001412957928,-3.921475087393321e-06,-0.00036830003285338284,0.9999978550376456
102,102,-0.0008234178788810924,0.000857786799345315,0.19421272081641167,0.002038486043009939,-4.1030169117828655e-06,-0.00036845715864351335,0.9999978543962682
103,103,-0.0008234590981107289,0.0008577387865338635,0.19421280686658446,0.0020387469161793664,-4.263246748568613e-06,-0.00036860499787286097,0.999997853809293
104,104,-0.0008234952276355523,0.0008576994940839988,0.19421288479538748,0.002038985669772025,-4.404952033623618e-06,-0.00036874368624558265,0.99999785327076
105,105,-0.0008235268162325258,0.0008576680920043987,0.19421295544064027,0.0020392044739654565,-4.530070408306974e-06,-0.00036887374677021064,0.99999785277607
106,106,-0.0008235542775303942,0.0008576438811251849,0.19421301950360434,0.002039405131976986,-4.640147081852217e-06,-0.0003689958065314898,0.9999978523213296
107,107,-0.0008235779585955605,0.0008576262437028929,0.1942130775990149,0.0020395892259150667,-4.7365110851625335e-06,-0.0003691104949286833,0.9999978519030917
108,108,-0.0008235981666239419,0.0008576146223452631,0.19421313027695775,0.002039758178099805,-4.8203466795511794e-06,-0.0003692184089564911,0.9999978515182448
109,109,-0.0008236151800013687,0.0008576085096624517,0.19421317803398716,0.002039913280435154,-4.89272536014523e-06,-0.000369320103105737,0.9999978511639568
110,110,-0.0008236292534788206,0.0008576074421149362,0.19421322131998128,0.002040055711350948,-4.954622767325372e-06,-0.00036941608816155766,0.9999978508376406
111,111,-0.000823640621089966,0.0008576109956054312,0.19421326054315746,0.00204018654763536,-5.006929581242422e-06,-0.00036950683309121095,0.9999978505369308
112,112,-0.0008236494981543744,0.0008576187819015795,0.19421329607417775,0.0020403067738841625,-5.050459782878904e-06,-0.0003695927678857918,0.9999978502596628
113,113,-0.000823656082873579,0.0008576304455245584,0.1942133282497084,0.0020404172906481194,-5.085957579403363e-06,-0.00036967428657509846,0.9999978500038562
114,114,-0.0008236605577098299,0.0008576456609626644,0.19421335737558887,0.0020405189216950058,-5.114103498170152e-06,-0.00036975175014504914,0.999997849767698
115,115,-0.0008236630906286694,0.0008576641301371668,0.19421338372968136,0.0020406124205951497,-5.135519880454732e-06,-0.00036982548926925305,0.9999978495495292
116,116,-0.0008236638362356192,0.0008576855800983216,0.19421340756445102,0.0020406984766968388,-5.1507758758274145e-06,-0.00036989580683428923,0.9999978493478318
117,117,-0.0008236629368153203,0.0008577097609042942,0.1942134291093029,0.0020407777206181547,-5.1603919802333846e-06,-0.00036996298026079424,0.9999978491612164
118,118,-0.0008236605233020027,0.0008577364436924122,0.194213448572702,0.0020408507292333303,-5.164844212973007e-06,-0.00037002726363459537,0.9999978489884114
119,119,-0.0008236567161652753,0.000857765418903958,0.19421346614409676,0.0020409180302554605,-5.164567908695252e-06,-0.0003700888896612435,0.9999978488282536
120,120,-0.0008236516262296517,0.0008577964946578814,0.1942134819956634,0.0020409801064287547,-5.159961189070327e-06,-0.00037014807145909666,0.9999978486796786
121,121,-0.0008236453554367357,0.0008578294952654223,0.1942134962838908,0.0020410373993528207,-5.151388151755509e-06,-0.00037020500420029964,0.9999978485417118
122,122,-0.0008236379975435137,0.0008578642598693026,0.19421350915101973,0.0020410903129812934,-5.139181773002742e-06,-0.00037025986661645466,0.9999978484134624
123,123,-0.000823629638768208,0.0008579006411898593,0.19421352072634587,0.002041139216841402,-5.123646565826093e-06,-0.0003703128223784165,0.9999978482941148
124,124,-0.0008236203583873822,0.0008579385043854746,0.19421353112740666,0.0020411844489563106,-5.105061013786311e-06,-0.0003703640213602257,0.9999978481829224
125,125,-0.0008236102292863942,0.0008579777260042942,0.19421354046105635,0.0020412263185300237,-5.083679795981574e-06,-0.00037041360079770303,0.9999978480792032
126,126,-0.0008235993184660918,0.0008580181930223725,0.1942135488244427,0.0020412651084079467,-5.059735819043567e-06,-0.00037046168634978066,0.9999978479823319
127,127,-0.0008235876875120433,0.0008580598019686731,0.19421355630589573,0.002041301077312509,-5.033442080745013e-06,-0.00037050839307081843,0.9999978478917376
128,128,-0.0008235753930218079,0.0008581024581146367,0.19421356298573075,0.002041334461911236,-5.004993360382987e-06,-0.0003705538263032097,0.9999978478068972
129,129,-0.0008235624870105342,0.0008581460747412701,0.1942135689369808,0.0020413654786852237,-4.974567795226014e-06,-0.00037059808249190066,0.9999978477273326
130,130,-0.0008235490172702325,0.0008581905724621537,0.1942135742260615,0.0020413943256524653,-4.942328284487253e-06,-0.0003706412499346337,0.999997847652606
131,131,-0.0008235350277112919,0.0008582358786029424,0.19421357891337335,0.002041421183946371,-4.908423800466243e-06,-0.0003706834094653658,0.999997847582317
